name,frequency,mean_age
YOLANDA CRISTINA,97,43
YOLIMA,97,41
ALOIA,96,11.3
ANCA MIHAELA,96,30.9
AYDA,96,39.1
CANDY,96,24.6
CERASELA,96,33.4
CLAUDIA TERESA,96,28.4
DIYANA,96,36.5
DONGMEI,96,42.2
ELENA ROSARIO,96,38.9
FEIFEI,96,22.7
FEN,96,36.5
FILOMENA MARIA,96,54
GABRIELA ISABEL,96,29.6
ISABEL FATIMA,96,43.5
JANET ANN,96,65.3
JOSEFA BELEN,96,42.6
JUDIHT,96,22.6
JURATE,96,40.1
KATHLEEN MARY,96,67.6
KIRENIA,96,31.6
LAYA,96,11.9
LORENA PAOLA,96,29.8
LULU,96,23
LUZ MILAGROS,96,37.2
MARIA FABIANA,96,46
MARIA GIOVANNA,96,41.6
MARIA YOANA,96,35.8
MARIELA ELIZABETH,96,35.2
MONEYBA,96,23.4
MONICA LORENA,96,35.3
MONSALUD,96,64.7
MYLENE,96,33.6
OLGA LILIANA,96,41.8
OLGA MARGARITA,96,54.4
ROBINA,96,43.7
ROMA,96,26.3
ROMELIA,96,52.3
ROSA LINDA,96,34.6
SALUDINA,96,73.3
SIENNA,96,4.2
SINDIA,96,20.1
SONIA ALEXANDRA,96,32.7
YUYAN,96,27
ZANETA,96,33.4
ZARAIDA,96,27.8
ALEJANDRA VICTORIA,95,26.1
ANA MARGARIDA,95,28.5
ANDREEA BIANCA,95,17.9
ANDREEA DENISA,95,14.8
ANNABELLE,95,35.4
ANYELINA,95,14.4
CATALINA ANTONIA,95,48.1
CHELSEA,95,13.4
CLAUDIA MIHAELA,95,29
CLAUDIA ROCIO,95,31.7
CORONACION,95,72
DAYARA,95,9.1
ELSIE,95,57.7
FLERIDA,95,65.1
GHISLAINE,95,50.4
GILLIAN MARY,95,64.4
GRISELA,95,32.6
HADIA,95,20.2
HADIYA,95,35.1
HUIHUI,95,20.2
IRENE VICTORIA,95,31.9
ISABEL ALEJANDRA,95,28.3
ISABEL SOFIA,95,35.3
JOHANNA ANDREA,95,29.1
JOSEBE,95,49.1
JULIETH,95,24
KAROLINE,95,24.8
LANA,95,21.4
LAURA ESTEFANIA,95,23.2
LAURA JANE,95,32.4
MACARENA CARMEN,95,26
MARIA FARNERS,95,50.6
MARIA FULGENCIA,95,54.5
MARIA GENMA,95,45.9
MARIA LUISA CARMEN,95,65
MARTA ELISA,95,38
MARTA ROSARIO,95,35.5
MERCEDES VICTORIA,95,47.7
MERITA,95,65.1
MOUMNA,95,48.7
NEELAM,95,31
PALOMA ISABEL,95,36.9
PATRICIA ESTHER,95,35.5
PATRICIA RAQUEL,95,33.3
PAULA MERCEDES,95,33.3
RAJWINDER,95,32.3
ROSARIO ROCIO,95,39.4
SARA ALEJANDRA,95,19.9
VICTORIA LUCIA,95,25.4
XIAOQING,95,30.5
AINARA CARMEN,94,8.4
AIZHEN,94,45.6
ALINA IONELA,94,28.2
ANA VALENTINA,94,22.7
ANDREA DANIELA,94,18.1
ANGIE DANIELA,94,15.8
AYAT,94,11.6
AZRA,94,42
BETINA,94,34.4
CINTA MARIA,94,37.8
DIANA ANDREEA,94,17
DORALBA,94,47.5
ERIKA ALEJANDRA,94,23.3
FEDRA,94,33.3
GLADYS PATRICIA,94,42.5
GRICELDA,94,38.8
HAPPY,94,29.1
ILIA,94,21.7
ISABEL MANUELA,94,51.6
ISAURA MARIA,94,43.3
JOELMA,94,37.8
JOSEFA ANGELA,94,64.9
LESIA,94,34.7
LILIANA ISABEL,94,39.6
LORENA CRISTINA,94,22.8
MARIA ANUNCIA,94,69.1
MARIA ELMA,94,51.6
MARIA EMPERATRIZ,94,52.5
MARIA MELISA,94,29.4
MARIA SELVA,94,50.6
MARINA DOLORES,94,50.4
MARTA EVA,94,44.2
MORENA,94,24.9
NIAMA,94,12
NICOLE ALEJANDRA,94,14.6
NILE,94,8
NURIA ESTER,94,37.5
OLGA INES,94,49.5
OSANE,94,31.3
PARVEEN,94,44.4
PATRICIA ROSARIO,94,37.2
ROSA CECILIA,94,45.5
SARAY MARIA,94,21.6
SEVDA,94,37.1
SILVIA VICTORIA,94,36.5
SOUMYA,94,30.2
SUZHEN,94,42.8
VIVIEN,94,44.1
XIAOLAN,94,41.2
ZUBEROA,94,25.1
ALICIA ANGELES,93,46.8
AMPARO ANGELES,93,52.7
ANA GRACIA,93,35.1
ANA MARIA CRISTINA,93,39.8
ANA MARIA DOLORES,93,63.7
AROLA,93,21
AURELINA,93,59.4
CAROLINA VICTORIA,93,30.9
CRISTINA FLORENTINA,93,26.7
DAOUIA,93,44
DIANA CATALINA,93,29.7
DIANA MARGARITA,93,36.5
DIANA MIHAELA,93,21.7
FRANCY ELENA,93,39.4
HILDA ROSA,93,54
ITXIAR,93,32.2
JENNY PAOLA,93,28.9
JERONIMA MARIA,93,46.8
JULIA JOSEFA,93,64
KAREN VANESSA,93,25.9
KARINA ALEJANDRA,93,33.7
LUCIA ANTONIA,93,49.9
MARIA CIPRIANA,93,63.1
MARIA LUCERO,93,47.1
MARIA SILVANA,93,40.6
MARINA ANGELES,93,45.8
MARTHA ALICIA,93,45.5
MARY GRACE,93,33.7
MAYSA,93,10.8
MEIHUA,93,44.1
MERCEDES CONCEPCION,93,53.2
MIREN ARANZAZU,93,54.1
MIRIAM TERESA,93,36
NAIDA,93,24
NAJIHA,93,31.4
NAVILA,93,30.1
NIDA,93,28.2
NIEVES GLORIA,93,49.5
NOHEMY,93,49.9
RAQUEL ESTHER,93,41.7
ROSARIO TERESA,93,53.7
SAYRA,93,10.5
SOBIA,93,30.5
SOLEDAD PALOMA,93,52.4
XIAOYUN,93,37.7
YESSIKA,93,29.4
YULEMA,93,22.8
AILI,92,43.1
ALESIA,92,24.7
ANGIE CAROLINA,92,18.4
ARIDIAN,92,11.6
BIANCA IOANA,92,16.6
BIANCA MIHAELA,92,18
CARMEN SORAYA,92,42.1
CELESTE MARIA,92,25.6
CLAUDIA MERCEDES,92,35.5
CONCEPCION NIEVES,92,53.3
CRISTINA ESTHER,92,37.1
DELIA ESTHER,92,51.1
DESIREE MARIA,92,25.8
DINA MARIA,92,42.9
DOLORES VICTORIA,92,51.7
ELEANOR,92,39.4
ELECTRA,92,54.4
ENGRACIA MARIA,92,50.6
FANY,92,37
FRANCISCA YOLANDA,92,46.2
GLADYS CARMEN,92,51.2
GLORIA ROCIO,92,35.3
HAIFEN,92,39.5
HEURA,92,15.2
HINA,92,23.1
ISABEL MAR,92,29.2
IZZA,92,39.5
JADWIGA,92,54.4
JAYNE,92,48.6
JEMA,92,44.7
JENNIFER CARMEN,92,24.1
JENNIFER CAROLINA,92,20.8
JOSELIN,92,27.9
LAURA CATALINA,92,25.7
LAURA NATALIA,92,26.7
LIDIANA,92,32.4
LIGIA ELENA,92,31.2
LIOUDMILA,92,56.2
MARIA AGNES,92,42
MARIA DOMINICA,92,60.9
MARIA ESTHELA,92,41.2
MARIA HERMINDA,92,61.4
MARIA IRACHE,92,39.6
MATILDE PILAR,92,55.2
MERCEDES TERESA,92,52.7
MONIKA ANNA,92,35.7
NATIVIDAD JESUS,92,47.9
NDEYE FATOU,92,26.3
NICOLETA DANIELA,92,30.4
OBDULIA MARIA,92,50.6
QUEREN,92,21.3
ROSA CATALINA,92,50
ROSA ELISA,92,54.1
SOFIA TERESA,92,32.8
VERONICA CECILIA,92,37.3
WENCESLAA,92,65.3
XENA,92,11.2
YAIRA,92,10.5
YERA,92,15.7
AGUILA,91,68.9
ANA DESIREE,91,28.5
ANGELES DOLORES,91,52.3
ANNE ELIZABETH,91,59.3
ANTONIA CRISTINA,91,46.3
AQSA,91,20.7
ARIADNA CARMEN,91,13.2
AURISTELA,91,68.3
BRIANNA,91,5.4
CARMEN BLANCA,91,46.9
CARMEN CRUZ,91,52.6
CARMEN SANDRA,91,42.3
CATALINA THOMAS,91,59.1
CONCHIN,91,58.6
CRISTINA LUISA,91,36
CRISTINA PAULA,91,33.1
DOLORES SOLEDAD,91,49.1
DONNA MARIE,91,41
DORA ISABEL,91,47.3
FRANCISCA NIEVES,91,56.3
GABRIELA BEATRIZ,91,31.2
INARA,91,15
IONELA ALINA,91,29.3
JANETE,91,40.7
JULIA MARGARITA,91,53.5
KATTY,91,37.3
KUMBA,91,25.6
LAMIS,91,9
LAURE,91,37
LUISA TERESA,91,61.3
LUZ MAR,91,38.7
MARGARITA MERCEDES,91,54.4
MARIA ANGUSTIA,91,59.1
MARIA CORNELIA,91,48.4
MARIA NUBIA,91,55.6
MARIA OMAIRA,91,44.7
MARIA VICO,91,52.6
MARIELA ALEJANDRA,91,35.9
MARLIES,91,57.4
MARTYNA,91,17.1
MAYYA,91,37.9
MERCEDES BEATRIZ,91,43.8
MIHAELA ANDREEA,91,24.6
MIHAELA NICOLETA,91,32.5
MIRIAM MARIA,91,32.4
MONICA ANGELES,91,39.3
NAIRA MARIA,91,25.8
NAWEL,91,29
NICOLETA ELENA,91,29.6
NIEVES CARMEN,91,51.7
NURIA MAR,91,36.1
OANA ANDREEA,91,23.3
OANA CRISTINA,91,27.2
PILAR CONCEPCION,91,57.6
PILAR JOSEFA,91,62.5
RAHELA,91,19.3
ROSA CONSUELO,91,54.5
ROSALIA CARMEN,91,52.5
ROSARIA,91,50.7
ROSIBEL,91,37.8
SANDRA MARIBEL,91,35.2
SANIA,91,17.4
SOUAAD,91,32.2
SUSAN PATRICIA,91,60.1
SUSANA TERESA,91,44.5
TERESA ASUNCION,91,53.6
VICTORIA LOUISE,91,34.7
YAQUELINE,91,34
YIHAN,91,8.2
YOLANDA MERCEDES,91,44.8
AAYA,90,5.5
AIRA,90,13.8
ALBORADA,90,49.4
ALEJANDRA CRISTINA,90,28.6
ALEX,90,8.8
AMY LOUISE,90,23.9
ANDREA STEFANIA,90,21.3
ANEU,90,6.5
ANGELES ROSA,90,55.1
BINETA,90,28.4
BOGDANA,90,33.5
CARMEN ANGELICA,90,47.1
CAROLINA MERCEDES,90,34.4
CLARA VICTORIA,90,36
DANIELA NICOLETA,90,30.3
FRANCISCA GLORIA,90,58.2
GERMANIA,90,49.3
GUADALUPE CARMEN,90,48.2
HENRIETTE,90,58
IRATZE,90,24.5
IRINA ELENA,90,26.2
JARA MARIA,90,23.6
LAURA ANA,90,32.1
LEDA,90,34
MADELYN,90,26.8
MARGARITA INES,90,49.2
MARIA PRAXEDES,90,62.6
MARIA PUREZA,90,61.6
MARIA SEVERINA,90,64.3
MARIA YANETH,90,44.6
MARIANA GABRIELA,90,34.1
MARITZA CARMEN,90,43.6
MERCEDES ANTONIA,90,54.7
MIREN ARGIÑE,90,46.9
MIREN NEREA,90,45
MIRTA BEATRIZ,90,50.1
MONICA BELEN,90,36.5
NIEVES DOLORES,90,51.9
OANA ALEXANDRA,90,22.4
PALOMARES,90,49
PATRICIA LUCIA,90,28.2
PEPI,90,47.5
ROSSE MARY,90,40.4
SANDRA MERCEDES,90,38.9
SILVIA MARINA,90,35.8
TIBISAY,90,29.6
TUNDE,90,37.8
VESNA,90,43.6
VIVIANA CAROLINA,90,27.5
YENY,90,35.9
YONE,90,32.9
AINOA MARIA,89,21
ALISHA,89,7.8
ALISON JANE,89,49.6
ALZIRA,89,48.8
ANA MACARENA,89,29.7
ANA SORAYA,89,36.2
ANA VIOLETA,89,40.8
ANDRADA,89,19.2
ANDRIANA,89,22.3
ANGELA ELENA,89,38.7
BEAUTY,89,33.9
BENITA MARIA,89,53.8
CHERYL,89,40.9
CONXA,89,56.4
CRISTINA GEORGIANA,89,22.1
CRISTINA SOFIA,89,29.4
DOLORES ESTHER,89,49.9
EDITH MARIA,89,46.5
ELENA VALENTINA,89,27.2
FREYA,89,25.2
GENOVA,89,23.8
ILENA,89,15.1
INES TERESA,89,45.1
JIANMEI,89,40.7
JOSEFA AURORA,89,62
JOSEFA ELVIRA,89,64.6
LORA,89,26.7
LOURDES PATRICIA,89,37.4
LUCIANE,89,37.6
LUCRECIA MARIA,89,48.9
LUZ EDITH,89,43.9
MALVA,89,15.1
MARIA KATIA,89,40.2
MARIA NELI,89,58.3
MARIA PILAR TERESA,89,63.7
MARIA QUITERIA,89,53.1
MATY,89,28.1
MELVA,89,48.6
MIRIAN ELIZABETH,89,37.5
MIRTA SUSANA,89,56.9
NAUSICA,89,25.6
PARAMJIT,89,39.9
PAULA VALENTINA,89,13
ROSA NATIVIDAD,89,53.3
SIRA MARIA,89,35.4
TOURAYA,89,38.4
VICENTA JOSE,89,49.4
VICTORIA SOFIA,89,11.7
WENWEN,89,21.3
XIMENA ALEXANDRA,89,31.1
XUELI,89,36.4
YENI,89,33.7
YUXUAN,89,4.9
ZELAI,89,18.7
ABLA,88,24.9
ALEJANDRA ELIZABETH,88,26.1
ALMUDENA CARMEN,88,27.5
ANA ELISABET,88,31.5
ANA FABIOLA,88,39.5
ANAI,88,23.1
ANIKA,88,18.8
AYDEE,88,45.9
CLAUDIA JIMENA,88,32.1
CLEOPATRA,88,40.8
DANIELA PATRICIA,88,22.1
DENISA ANDREEA,88,13.1
ELENA IULIANA,88,30.4
ELISA BEATRIZ,88,41.7
ELIZABETH JANE,88,47.9
ELSA CARMEN,88,48.8
ERCILIA,88,55.5
ESTELA MAR,88,19.2
EZZAHRA,88,36.6
FATIMA ZAHARA,88,16.6
FRANCISCA CRISTINA,88,47.3
HADIL,88,8.4
HORTENSIA MARIA,88,51.6
INESA,88,30.3
ISRA,88,6.7
JAKELINE,88,34.1
JOHANA ANDREA,88,28.2
KATARZYNA MARIA,88,33
KHADJOU,88,37.6
LEONOR CARMEN,88,53
LINDSAY,88,24.9
LORENA ALEXANDRA,88,26.3
LUZ MIRIAM,88,44.1
MAJDOULINE,88,24.3
MANUELA MERCEDES,88,61.4
MANUELA VICTORIA,88,54.8
MARIA BREZO,88,36.7
MARIA JAQUELINE,88,38.9
MARINA ALEJANDRA,88,30.7
MELANIA MARIA,88,25.6
MIHAELA ADRIANA,88,32.6
MIMI,88,40.8
MOKHTARIA,88,40.3
NIA,88,9.7
NIEVES LUZ,88,48.2
OMNIA,88,9.6
PAULA MARINA,88,23.1
PILAR ANTONIA,88,58.9
PILI,88,50.6
ROSA LEONOR,88,51.3
SANDRA JANETH,88,39.2
SILVIA GABRIELA,88,34
SOKAYNA,88,14.5
STELLA MARIA,88,30.2
SUSAN ANNE,88,60.1
VEREDAS,88,53.8
VICTORIA CAROLINA,88,21.6
ADORACIO,87,62.5
AILYN,87,16.3
ANA NATALIA,87,35.9
ANA NOELIA,87,31.7
ANDREA VIVIANA,87,36.5
ANGIE LORENA,87,20.1
ARRITOKIETA,87,41.7
BALWINDER,87,42
BERTHA MARIA,87,45.2
BLANCA MERCEDES,87,46.3
CARLA CARMEN,87,11.7
CARMEN ARACELI,87,50.4
CARMEN CLARA,87,50
CECILIA ANDREA,87,33.5
CHANEL,87,8.7
CRISELDA,87,57.9
DONELIA,87,65.5
DORA LILIA,87,42.2
EDDA,87,47.2
ELENA IRINA,87,30.1
ENEKA,87,27.4
EVA ROSARIO,87,40.1
EVA YOLANDA,87,41.2
FATEMA,87,35.3
FRANCISCA INES,87,57.4
FRANCISCA TRINIDAD,87,55.7
HELEN ELIZABETH,87,47.7
HNIA,87,43.6
IRAM,87,27.8
JANETT,87,30.4
JASWINDER,87,38.4
JESSICA TATIANA,87,21
JULIA ANGELES,87,54.4
LAIMA,87,36.9
LAURA SOLEDAD,87,32.1
LUISA FRANCISCA,87,57.8
MALGORZATA ANNA,87,37.7
MARIA ABIGAIL,87,34.1
MARIA CARMEN JOSEFA,87,68.1
MARIA HORTENCIA,87,46.1
MARIA LARISA,87,25.4
MARIA LEONCIA,87,59
MARIE JEANNE,87,60.7
MARTA ANA,87,38.4
MAYERLIN,87,28.3
MIREN AMAIUR,87,6.6
MONICA ROSARIO,87,41.1
NASEEM,87,46.9
ORFILIA,87,62.8
PAOLA CAROLINA,87,27.5
PATRICIA IRENE,87,43
RAYISA,87,56.2
ROSALVA,87,43.8
ROXANA GABRIELA,87,26.2
SILVIA ADRIANA,87,42.6
SONIA TERESA,87,40.2
SYRA,87,24.6
VERONICA CRISTINA,87,32
VITALIA,87,53.6
VITORINA,87,74.1
XUAN,87,16.4
YAO,87,20
YEVGENIYA,87,42.5
YLENIA CARMEN,87,18.2
YULISSA,87,18.2
ZINAYIDA,87,56.4
ZORAIDA MARIA,87,35.6
ABDONA,86,68.1
ANGELA MANUELA,86,50
AUICHA,86,63.9
BEATRIZ MERCEDES,86,42
BEATRIZ SUSANA,86,50.7
BIANKA,86,21.7
BINTU,86,13.5
BLANCA IRENE,86,45.5
CANDELARIA CARMEN,86,53.4
CARMEN CAROLINA,86,38.9
CATHERINA,86,28.1
DAYANNA,86,12.8
DEOGRACIA,86,64
DOLORES PINO,86,48.1
DORA LUZ,86,45.3
DUAA,86,6.4
ELEA,86,14.6
ELENA MIRELA,86,33.6
EMILIA TERESA,86,54
EMMA ISABEL,86,35
EMMA VICTORIA,86,29.3
FAIROUZ,86,27.9
FATIMA AZAHRA,86,6.5
FATTOUCH,86,56.1
GENOVEVA MARIA,86,48.2
GHAZALA,86,37.5
GRACIELA SUSANA,86,54.1
INESSA,86,37.8
ISABEL REYES,86,49.9
JAMAICA,86,22.8
JOSEFA TRINIDAD,86,59.5
JULIA PATRICIA,86,33.4
KAREN DAYANA,86,17.5
KAREN LORENA,86,24.2
LAIBA,86,8.8
LIDIIA,86,52
LIZ,86,19.9
LUCIA ROCIO,86,18.7
LUZ AMANDA,86,48.2
MACARENA MARIA,86,27.5
MANUELA REYES,86,50.7
MARIA CARMEN ROSA,86,63.1
MARIA CHANTAL,86,34.4
MARIA DEOLINDA,86,58.4
MARIA HONORINA,86,68.2
MARIA LUCITA,86,64.3
MARIA LUISA PILAR,86,65.9
MARIA ORLANDA,86,57
MARIA PORTAL,86,48.9
MARIA REFUGIO,86,57.4
MARIA RONCESVALLES,86,50.2
MARIA YAZMINA,86,36.9
MARLENE ELIZABETH,86,42.3
NAFISSA,86,29.9
NORMA CONSTANZA,86,40.3
OLGA SUSANA,86,48
ONDINA,86,50.7
OUMY,86,27.3
PATRICIA GABRIELA,86,28.9
QIQI,86,15.6
ROCIO ESPERANZA,86,32
ROSO,86,34.4
SANDRA GABRIELA,86,35.9
SARA ABIGAIL,86,16.2
SILVIA DOLORES,86,41.1
SUE,86,35.8
VALERIE ANNE,86,63.3
VESKA,86,45.3
XINYAN,86,9.5
YANDIRA,86,21.7
YOKO,86,45.1
YOLANDA ROCIO,86,36
YULIET,86,31.7
ADALIA,85,41.5
AIZA,85,13.5
AIZHU,85,50.4
ALBA INES,85,40.1
ALDANA,85,17.4
ANA PIEDAD,85,44.5
ANDREA SOFIA,85,14.2
ANGIE PAOLA,85,19.8
ARELYS,85,36.7
CARLA PAOLA,85,27.2
CARMEN MARIANA,85,40.1
CHRISTINE ELIZABETH,85,60.6
CLARA BEATRIZ,85,34.2
CLAUDIA MONICA,85,41.8
CRESENCIA,85,61.5
DANIELA ISABEL,85,16.9
DANIELA VALENTINA,85,15.1
DATIVA,85,78.2
DESSIREE,85,21.5
EMILSE,85,47.3
ESTELA MARY,85,44
ESTELLE,85,32.2
FATOMA,85,62.7
FERDAUS,85,7.4
FERDAWS,85,6.1
GRACINDA,85,60.2
HAIYING,85,40.6
INMACULADA ISABEL,85,41.4
IRENE TERESA,85,34.9
ISABEL NIEVES,85,50
JINAN,85,5.8
JUANA VICENTA,85,63.8
KYARA,85,7.2
LAURA ANGELES,85,36
LEIDY VIVIANA,85,26.8
LEILA MARIA,85,29.4
LESLEY ANNE,85,57.7
LUCIA ANA,85,36.9
LUZ AIDA,85,42.7
MALAIKA,85,12.2
MANELA,85,56.6
MARIA PELIGROS,85,57.1
MARIA PUIG,85,42.4
MARIA RUBI,85,42.9
MARIANA ANDREA,85,34.8
MARIE LUISE,85,65.4
MARINA CONCEPCION,85,46.8
MERÇE,85,52.9
MIREN EGUZKIÑE,85,49.1
NATI,85,52
NOELIA ROCIO,85,23.8
NOHAYLA,85,9.4
NORMA SUSANA,85,54.6
NOURHAN,85,5
ORQUIDEA,85,46
PATRICIA NOEMI,85,40.6
PAULETTE,85,63.6
RAQUEL ISABEL,85,35.7
REBECCA LOUISE,85,27.9
ROCIO MERCEDES,85,34.4
ROKIA,85,30.9
ROXANA ANDREEA,85,21.1
SOFIA MARGARITA,85,27.7
SOFICA,85,44.3
SORAYA CARMEN,85,36.4
SUQIN,85,44.8
SUSANA INES,85,45.9
TADEA,85,55.1
VALYA,85,40.5
VANDA,85,46.5
WILHELMINA,85,65.6
XIUZHEN,85,43.3
YAMILKA,85,33.8
ADRIANA MIHAELA,84,30.7
ALBA VICTORIA,84,19.9
AMOR MARIA,84,32.3
ANELIA,84,29.3
ANGELA MARINA,84,36
ANTONIA ENCARNACION,84,56
CATERINA MARIA,84,25.8
CLARA MERCEDES,84,46.4
CLARA PATRICIA,84,36.2
DORA INES,84,49.1
DOUHA,84,11.5
ELENA CORINA,84,31.3
EMMANUELA,84,30.9
ERICKA,84,27
ESPERANZA PILAR,84,52.4
EVA CAROLINA,84,33.9
GEORGETTE,84,61.9
GOIZARGI,84,27.2
HILLARY,84,13.7
IULICA,84,45.1
JACQUELIN,84,32.4
JEAN MARY,84,71.8
JENNIFER ALEXANDRA,84,18.3
JOSEFA ESPERANZA,84,61.7
JUDITH ANNE,84,63
KARYNA,84,20.7
KATHERINE ALEXANDRA,84,23.6
KATSIARYNA,84,30.7
KREMENA,84,33.9
LADY DIANA,84,28
LAURA INMACULADA,84,32.9
LEIZURI,84,10.1
LYA,84,5.8
MARIA BELARMINA,84,65.6
MARIA NERI,84,59.8
MARIA NIDIA,84,50.7
MARIA PERFECTA,84,64.1
MARIA PLACER,84,69.2
MARIA RAIMUNDA,84,59.3
MARIA ROSARIA,84,49
MARIA VENERANDA,84,65.3
MARIANGEL,84,25.7
MARIE CLAUDE,84,62.3
MARINA BEATRIZ,84,36.6
MARTA CAROLINA,84,36.1
MARTA CONCEPCION,84,39.8
MIHAELA LOREDANA,84,30.1
MIRIAM PATRICIA,84,38.6
MIRIAM RAQUEL,84,34.1
NATALIA BELEN,84,26.4
NATALIA TERESA,84,36.2
PATRICIA LOURDES,84,37.3
PERSIDA,84,44.2
RAZIA,84,43.4
ROMINA PAOLA,84,31.5
ROSSELLA,84,39.2
SANDRA NOEMI,84,39.4
SANDRA VICTORIA,84,33.9
SIDONIA,84,50.2
SILVIA YOLANDA,84,45.5
SONIA LUCIA,84,37.2
SUMAIRA,84,29.1
TAIDA,84,29
TALITA,84,24.7
TERESA ELENA,84,46.8
VALERIIA,84,21.4
VANINA,84,30.3
WIKTORIA,84,13
YANEISY,84,25.8
YOLANDA MARGARITA,84,50.6
AGNIESZKA ANNA,83,34.2
AGUASANTAS,83,52.6
ALEJANDRA CAROLINA,83,23.7
ALIS,83,18.1
ALYSSA,83,8.7
ANITA MARIA,83,51.8
BEATRIZ MARGARITA,83,48.1
BORISLAVA,83,25.6
CATIA SOFIA,83,27
CRISTINA INES,83,37.2
CRISTINA RAQUEL,83,37.2
DANIELA FLORENTINA,83,29.3
DOLORES ANA,83,53.3
DOLORES JESUS,83,51.5
EDITHA,83,49
ELENA CONCEPCION,83,45.2
ELIZANGELA,83,36
FLORENCIA MARIA,83,45.8
GUDELIA,83,64.3
GWENDOLINE,83,44.3
ILAZKI,83,13.1
INDIANA,83,16.4
ISABEL JULIA,83,53.8
JACQUELINE CARMEN,83,37
JULIA ELIZABETH,83,39.6
KARI,83,63
LAURA CONCEPCION,83,38.8
LENY,83,38.1
LINDA JANE,83,56.7
LORENA ANDREA,83,30.3
LUCIA MANUELA,83,35.9
MARIA ALEIDA,83,55.8
MARIA ELISENDA,83,45.7
MARIA ELIZABET,83,35.3
MARIANA SOLEDAD,83,33.8
MARINA LUISA,83,50.8
MARJORIE ELIZABETH,83,37.3
MARLA,83,15.7
MENANA,83,48.7
MOUNYA,83,25.3
NADIUSKA,83,31.2
NOELLE,83,42.9
OANA ELENA,83,26.5
PATRICIA BELEN,83,32.1
PILAR EUGENIA,83,49.4
RAQUEL TERESA,83,44.1
RIMMA,83,50.5
SAKIRA,83,10.8
SAMAY,83,8.9
SARA ANA,83,34.1
SARA ROCIO,83,27.7
SHEILA MARY,83,69.8
SILVIA ANDREA,83,35.8
SOLEMNIDAD,83,74.5
SUA,83,7.9
SUKHWINDER,83,38.1
SULMA,83,32.6
SUSANA ALICIA,83,48.3
SUSANA ROCIO,83,37.9
TERESA LUCIA,83,44.1
WEAM,83,7.9
XIAOHUI,83,28.1
ZARAY,83,20.6
ZARINA,83,33.3
ZOSIMA,83,74.5
ADRIANA DANIELA,82,24.5
AIDA LUZ,82,45
ALEJANDRA GABRIELA,82,27.8
ALEXANDRA CARMEN,82,25.7
ANA ELISABETH,82,29.3
ANA LUNA,82,16.3
ANDREA ROCIO,82,19.8
ANDREEA DIANA,82,17.3
ANGELA ELIZABETH,82,44.9
ANNA CRISTINA,82,28.7
BEATRIZ ROSARIO,82,40.2
CARMEN NATIVIDAD,82,53
CYNTHIA CAROLINA,82,28.4
DANIELA ESTEFANIA,82,14.9
DAYANA CAROLINA,82,22.2
ELENA CAMELIA,82,34.3
EVA ELENA,82,37.5
EVELYN CARMEN,82,24.1
FRANCISCA AMPARO,82,59
GALILEA,82,9.4
GUADITOCA,82,58.4
GURPREET,82,24.7
ILDA MARIA,82,47.2
INES LUCIA,82,36.9
ISABEL JESUS,82,45.8
JAINABA,82,28.4
JERONIA,82,45.2
JOSEFA LOURDES,82,52.4
JUANA EMILIA,82,58.1
KATHRYN,82,48.2
KEIKO,82,44.4
LORENA ALEJANDRA,82,29.7
LOURDES BEATRIZ,82,38.5
LUISANA,82,23.5
MARIA ANSELMA,82,59.6
MARIA DIAMANTINA,82,62.7
MARIA LOLA,82,47.9
MARIA OLINDA,82,55
MARIA PILAR CARMEN,82,62.1
MARIA SARAI,82,29.6
MARIANA ELIZABETH,82,31.2
MARTIRES,82,72.4
MEIMEI,82,35.1
MERCEDES MARGARITA,82,50.7
NATALIA SOFIA,82,21.5
NEIDE,82,46.1
NOELIA ESTHER,82,35.1
NURIA TERESA,82,42.5
RADITA,82,47.8
ROSA CAROLINA,82,40.5
SANDRA ANN,82,63.4
SCARLET,82,16.2
SEILA MARIA,82,30.1
SONIA CAROLINA,82,34.4
SUELY,82,43.5
TAMARA CARMEN,82,24.4
WIJDANE,82,14.1
ZEINAB,82,28.9
ZIYI,82,9.3
ZOA,82,41
ADRIANA ROCIO,81,31.1
ALBANIA,81,35.1
ALEVTINA,81,46.8
ALIX,81,26.2
AMABILIA,81,70.3
AMALIA PILAR,81,50.8
ANA AGUSTINA,81,50
ANDREEA RALUCA,81,20.8
ANGELINE,81,22.5
ANGIE TATIANA,81,16.6
ATANASKA,81,41.6
BADRIA,81,33.1
BELA,81,22.2
BELIA,81,55.8
BENDICION,81,60.3
CAROLE ANNE,81,62.8
CATHERINE ANNE,81,50.1
CELIA ESTHER,81,50.5
CHAIBIA,81,45.9
CLARA LUCIA,81,29.3
CRISTINA ANDREA,81,23.8
CRISTINA MONICA,81,37.7
DANIELA SOFIA,81,13
DEBRA,81,43.2
DEIANE,81,16.8
DIOLINDA,81,62.4
ELENA ANA,81,39.3
ESTANISLADA,81,74.6
EVA LUISA,81,39.8
GARA MARIA,81,20.3
JUANA ENCARNACION,81,59.1
KAREN ANN,81,50.6
KATHERINE MICHELLE,81,18.9
KATIE,81,24.3
LAURA VIVIANA,81,32.7
LEIDY LAURA,81,22.2
LIFANG,81,38
LIOBA,81,24.3
LUCIA ESPERANZA,81,35.8
LUCIA PINO,81,34.1
LUSCINDA,81,66.9
MADELAINE,81,33.6
MADINA,81,29
MARCELA BEATRIZ,81,42.5
